episode,steps,totalReward,epsilon,completed,died
1,36,0,1.0,False,True
2,48,0,0.9996481481481482,False,True
3,20,0,0.9992962962962963,False,True
4,16,0,0.9989444444444444,False,True
5,21,0,0.9985925925925926,False,True
6,18,0,0.9982407407407408,False,True
7,5,0,0.9978888888888889,False,True
8,10,0,0.997537037037037,False,True
9,400,0,0.9971851851851852,False,False
10,91,0,0.9968333333333333,False,True
11,18,0,0.9964814814814815,False,True
12,400,0,0.9961296296296296,False,False
13,252,0,0.9957777777777778,False,True
14,5,0,0.9954259259259259,False,True
15,52,0,0.9950740740740741,False,True
16,33,0,0.9947222222222222,False,True
17,180,0,0.9943703703703703,False,True
18,90,1,0.9940185185185185,True,False
19,21,0,0.9936666666666667,False,True
20,73,0,0.9933148148148148,False,True
21,113,0,0.9929629629629629,False,True
22,90,0,0.9926111111111111,False,True
23,280,0,0.9922592592592593,False,True
24,3,0,0.9919074074074075,False,True
25,170,0,0.9915555555555555,False,True
26,6,0,0.9912037037037037,False,True
27,292,0,0.9908518518518519,False,True
28,27,0,0.9905,False,True
29,11,0,0.9901481481481481,False,True
30,5,0,0.9897962962962963,False,True
31,24,0,0.9894444444444445,False,True
32,99,0,0.9890925925925926,False,True
33,400,0,0.9887407407407407,False,False
34,70,0,0.9883888888888889,False,True
35,60,0,0.988037037037037,False,True
36,137,0,0.9876851851851852,False,True
37,129,0,0.9873333333333333,False,True
38,133,0,0.9869814814814815,False,True
39,24,0,0.9866296296296296,False,True
40,10,0,0.9862777777777778,False,True
41,14,0,0.9859259259259259,False,True
42,118,0,0.985574074074074,False,True
43,58,0,0.9852222222222222,False,True
44,20,0,0.9848703703703704,False,True
45,23,0,0.9845185185185186,False,True
46,28,0,0.9841666666666666,False,True
47,36,0,0.9838148148148148,False,True
48,5,0,0.983462962962963,False,True
49,35,0,0.9831111111111112,False,True
50,12,0,0.9827592592592592,False,True
51,152,0,0.9824074074074074,False,True
52,393,0,0.9820555555555556,False,True
53,15,0,0.9817037037037037,False,True
54,217,0,0.9813518518518518,False,True
55,13,0,0.981,False,True
56,27,0,0.9806481481481482,False,True
57,363,0,0.9802962962962963,False,True
58,400,0,0.9799444444444444,False,False
59,5,0,0.9795925925925926,False,True
60,24,0,0.9792407407407407,False,True
61,43,0,0.9788888888888889,False,True
62,12,0,0.978537037037037,False,True
63,227,0,0.9781851851851852,False,True
64,44,0,0.9778333333333333,False,True
65,64,0,0.9774814814814815,False,True
66,131,1,0.9771296296296297,True,False
67,323,0,0.9767777777777777,False,True
68,5,0,0.9764259259259259,False,True
69,9,0,0.9760740740740741,False,True
70,17,0,0.9757222222222223,False,True
71,400,0,0.9753703703703703,False,False
72,24,0,0.9750185185185185,False,True
73,20,0,0.9746666666666667,False,True
74,10,0,0.9743148148148149,False,True
75,59,0,0.9739629629629629,False,True
76,22,0,0.9736111111111111,False,True
77,15,0,0.9732592592592593,False,True
78,18,0,0.9729074074074074,False,True
79,11,0,0.9725555555555555,False,True
80,44,0,0.9722037037037037,False,True
81,60,0,0.9718518518518519,False,True
82,45,0,0.9715,False,True
83,50,0,0.9711481481481481,False,True
84,44,0,0.9707962962962963,False,True
85,34,0,0.9704444444444444,False,True
86,27,0,0.9700925925925926,False,True
87,22,0,0.9697407407407408,False,True
88,222,0,0.9693888888888889,False,True
89,20,0,0.969037037037037,False,True
90,35,0,0.9686851851851852,False,True
91,34,0,0.9683333333333334,False,True
92,30,0,0.9679814814814814,False,True
93,134,0,0.9676296296296296,False,True
94,4,0,0.9672777777777778,False,True
95,141,0,0.966925925925926,False,True
96,42,0,0.966574074074074,False,True
97,17,0,0.9662222222222222,False,True
98,103,0,0.9658703703703704,False,True
99,170,0,0.9655185185185186,False,True
100,17,0,0.9651666666666666,False,True
101,7,0,0.9648148148148148,False,True
102,7,0,0.964462962962963,False,True
103,19,0,0.9641111111111111,False,True
104,45,0,0.9637592592592592,False,True
105,400,0,0.9634074074074074,False,False
106,86,0,0.9630555555555556,False,True
107,9,0,0.9627037037037037,False,True
108,8,0,0.9623518518518519,False,True
109,13,0,0.962,False,True
110,68,0,0.9616481481481481,False,True
111,191,0,0.9612962962962963,False,True
112,225,0,0.9609444444444445,False,True
113,64,0,0.9605925925925926,False,True
114,283,0,0.9602407407407407,False,True
115,22,0,0.9598888888888889,False,True
116,30,0,0.9595370370370371,False,True
117,19,0,0.9591851851851851,False,True
118,17,0,0.9588333333333333,False,True
119,9,0,0.9584814814814815,False,True
120,5,0,0.9581296296296297,False,True
121,246,1,0.9577777777777777,True,False
122,188,0,0.9574259259259259,False,True
123,76,0,0.9570740740740741,False,True
124,122,0,0.9567222222222223,False,True
125,221,0,0.9563703703703703,False,True
126,26,0,0.9560185185185185,False,True
127,162,0,0.9556666666666667,False,True
128,15,0,0.9553148148148148,False,True
129,3,0,0.954962962962963,False,True
130,129,0,0.9546111111111111,False,True
131,12,0,0.9542592592592593,False,True
132,102,0,0.9539074074074074,False,True
133,17,0,0.9535555555555556,False,True
134,88,0,0.9532037037037037,False,True
135,166,0,0.9528518518518518,False,True
136,56,0,0.9525,False,True
137,52,0,0.9521481481481482,False,True
138,27,0,0.9517962962962963,False,True
139,5,0,0.9514444444444444,False,True
140,12,0,0.9510925925925926,False,True
141,47,0,0.9507407407407408,False,True
142,32,0,0.9503888888888888,False,True
143,9,0,0.950037037037037,False,True
144,188,0,0.9496851851851852,False,True
145,8,0,0.9493333333333334,False,True
